timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1574213336622,4467,Bot Service: Message Attractor,,,Bot Thread Group 1-4,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,130,0,28,28,null,0,0,0
1574213338914,2187,Bot Service: Message Attractor,,,Bot Thread Group 1-12,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,128,0,27,27,null,0,0,0
1574213336873,4232,Bot Service: Message Attractor,,,Bot Thread Group 1-6,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,130,0,26,26,null,0,0,0
1574213339932,1206,Bot Service: Message Attractor,,,Bot Thread Group 1-8,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,131,0,25,25,null,0,0,0
1574213338919,2221,Bot Service: Message Attractor,,,Bot Thread Group 1-14,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,130,0,24,24,null,0,0,0
1574213337821,3320,Bot Service: Message Attractor,,,Bot Thread Group 1-1,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,131,0,23,23,null,0,0,0
1574213337724,3503,Bot Service: Message Blind Spots,,,Bot Thread Group 1-46,text,true,,511,0,22,22,null,0,0,0
1574213340561,919,Bot Service: Message Attractor,,,Bot Thread Group 1-34,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,131,0,22,22,null,0,0,0
1574213337335,4364,Bot Service: Message Attractor,,,Bot Thread Group 1-40,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,131,0,21,21,null,0,0,0
1574213337025,4722,Bot Service: Message Attractor,,,Bot Thread Group 1-21,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,129,0,20,20,null,0,0,0
1574213340937,815,Bot Service: Message Attractor,,,Bot Thread Group 1-45,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,128,0,19,19,null,0,0,0
1574213337474,4290,Bot Service: Message Attractor,,,Bot Thread Group 1-31,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,130,0,18,18,null,0,0,0
1574213341228,1125,Bot Service: Message Blind Spots,,,Bot Thread Group 1-46,text,true,,1469,0,17,17,null,0,0,0
1574213342353,54,Bot Service: Message No,,,Bot Thread Group 1-46,text,true,,822,0,17,17,null,0,0,0
1574213342407,39,Bot Service: Message Attractor,,,Bot Thread Group 1-46,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,131,0,17,17,null,0,0,0
1574213322099,302338,Bot Service: Message Blind Spots,,,Bot Thread Group 1-37,text,false,Test failed: text expected to contain /Random Point generated/,128,0,16,16,null,0,0,0
1574213624439,640,Bot Service: Message No,,,Bot Thread Group 1-37,text,false,Test failed: text expected to contain /What would you like to get/check?/,339,0,16,16,null,0,0,0
1574213625079,23,Bot Service: Message Attractor,,,Bot Thread Group 1-37,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,339,0,16,16,null,0,0,0
1574213322405,303910,Bot Service: Message Blind Spots,,,Bot Thread Group 1-49,text,false,Test failed: text expected to contain /Random Point generated/,128,0,15,15,null,0,0,0
1574213626316,45,Bot Service: Message No,,,Bot Thread Group 1-49,text,true,,849,0,15,15,null,0,0,0
1574213626361,33,Bot Service: Message Attractor,,,Bot Thread Group 1-49,text,false,Test failed: text expected to contain /Wait a minute. It will take a while./,130,0,15,15,null,0,0,0
1574213327515,301288,Bot Service: Message Blind Spots,,,Bot Thread Group 1-13,text,false,Test failed: text expected to contain /Random Point generated/,128,0,14,14,null,0,0,0
1574213628805,43,Bot Service: Message No,,,Bot Thread Group 1-13,text,true,,848,0,14,14,null,0,0,0
